frame,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,label
0,0.5768875479698181,0.12058677524328232,-0.4512871205806732,0.5940451622009277,0.11477863788604736,-0.4228835105895996,0.6050707697868347,0.11499079316854477,-0.4229916036128998,0.6154085397720337,0.11525721102952957,-0.4229738414287567,0.5648910999298096,0.11471390724182129,-0.4174625873565674,0.5558273196220398,0.11535205692052841,-0.4173615574836731,0.547762393951416,0.11616896092891693,-0.41733869910240173,0.6281118392944336,0.1172696128487587,-0.2448265105485916,0.5364041328430176,0.12099292874336243,-0.22263725101947784,0.5897983312606812,0.12810568511486053,-0.38649222254753113,0.5630783438682556,0.12797479331493378,-0.379151314496994,0.709637463092804,0.20444278419017792,-0.18736854195594788,0.45747679471969604,0.2064356952905655,-0.1356476992368698,0.7771532535552979,0.30720412731170654,-0.10320886224508286,0.40078797936439514,0.3099856674671173,-0.08320610970258713,0.848906397819519,0.39312970638275146,-0.21685945987701416,0.34072500467300415,0.393319696187973,-0.21490022540092468,0.8764444589614868,0.42386215925216675,-0.248580664396286,0.31217649579048157,0.42197656631469727,-0.25512558221817017,0.8675440549850464,0.4236556589603424,-0.31826692819595337,0.31833165884017944,0.42123323678970337,-0.32957738637924194,0.8585301041603088,0.4160981774330139,-0.24630853533744812,0.33023637533187866,0.41444215178489685,-0.2532608211040497,0.65085369348526,0.44008299708366394,0.00015814237121958286,0.5114169716835022,0.4392448663711548,-0.0004909277777187526,0.6619479656219482,0.575352132320404,0.12101488560438156,0.5125008821487427,0.5746518969535828,0.15074072778224945,0.626095712184906,0.6991117596626282,0.570950448513031,0.5149281620979309,0.7027990221977234,0.5775226950645447,0.5994699597358704,0.7185044288635254,0.6033211946487427,0.5311844944953918,0.7192360758781433,0.6093947887420654,0.6641378402709961,0.7596642971038818,0.4159225523471832,0.4918503165245056,0.7586765885353088,0.43301886320114136,girar
1,0.5868377089500427,0.09706805646419525,-0.5604958534240723,0.6041531562805176,0.08376827836036682,-0.5274347066879272,0.6149259805679321,0.08404500037431717,-0.5274520516395569,0.6254242062568665,0.08460106700658798,-0.5274154543876648,0.5751217603683472,0.08388350903987885,-0.5234923958778381,0.5646423101425171,0.0844171866774559,-0.5234600305557251,0.5548562407493591,0.0850483700633049,-0.5234254598617554,0.6393373608589172,0.09355172514915466,-0.31616222858428955,0.5430071949958801,0.09437068551778793,-0.3018670678138733,0.6011372804641724,0.11697164177894592,-0.4818592071533203,0.5722867846488953,0.11629185080528259,-0.4773937165737152,0.7212967276573181,0.19681107997894287,-0.2046053558588028,0.4662168323993683,0.1974593997001648,-0.1846788227558136,0.7882065773010254,0.30056819319725037,-0.10659264028072357,0.4033419191837311,0.29953885078430176,-0.12966962158679962,0.8615575432777405,0.3856067657470703,-0.22061367332935333,0.33856406807899475,0.38470858335494995,-0.373636394739151,0.8844203948974609,0.4150997996330261,-0.2513640224933624,0.31387123465538025,0.4126476049423218,-0.42953044176101685,0.8762011528015137,0.41623684763908386,-0.3402342200279236,0.3178333044052124,0.41200682520866394,-0.5098175406455994,0.867280900478363,0.40664732456207275,-0.2559421956539154,0.32798051834106445,0.4029293954372406,-0.4162592589855194,0.6602112054824829,0.42158713936805725,3.6473698855843395e-05,0.5211002826690674,0.41907283663749695,-0.00037511231494136155,0.6719855666160583,0.5683565139770508,0.08903675526380539,0.5205502510070801,0.5676385164260864,0.10700646042823792,0.6452431678771973,0.691809892654419,0.5234317779541016,0.5227330923080444,0.6941591501235962,0.5375646948814392,0.6170295476913452,0.7107825875282288,0.5507315993309021,0.5469053387641907,0.7109988331794739,0.5650036931037903,0.6827130913734436,0.75128173828125,0.3134351372718811,0.48547831177711487,0.7510949969291687,0.33156195282936096,girar
2,0.5902304649353027,0.09672494232654572,-0.7184736728668213,0.6070963740348816,0.08327163755893707,-0.6795403957366943,0.6172444224357605,0.08369729667901993,-0.6795310974121094,0.6275535821914673,0.08429878950119019,-0.6794618964195251,0.5780279040336609,0.08325403183698654,-0.67668616771698,0.5679855942726135,0.083656445145607,-0.6766802668571472,0.5585314631462097,0.08390839397907257,-0.676569402217865,0.6449568867683411,0.0934140756726265,-0.4329848289489746,0.5469695329666138,0.09328014403581619,-0.42302748560905457,0.6076489686965942,0.11491981893777847,-0.6276630759239197,0.5737236738204956,0.11393017321825027,-0.6242930889129639,0.7258786559104919,0.19752398133277893,-0.298846572637558,0.47118595242500305,0.1971842497587204,-0.26474595069885254,0.7939801216125488,0.2990001440048218,-0.19436097145080566,0.4047276973724365,0.30335918068885803,-0.2023146152496338,0.8608213663101196,0.39137551188468933,-0.3780990242958069,0.33855313062667847,0.38726910948753357,-0.4216953217983246,0.8836185336112976,0.4207562506198883,-0.43392103910446167,0.31529828906059265,0.4156035780906677,-0.4833132326602936,0.8726258277893066,0.42166465520858765,-0.5207626223564148,0.3198884129524231,0.4148102104663849,-0.5730310678482056,0.862838089466095,0.41137778759002686,-0.41676729917526245,0.32995855808258057,0.4064610004425049,-0.4657997786998749,0.6625667810440063,0.41776466369628906,-0.000529931508935988,0.5206165313720703,0.4156724512577057,0.00016833347035571933,0.6713497042655945,0.5667622089385986,0.091997891664505,0.5196733474731445,0.563988208770752,0.11560307443141937,0.6497180461883545,0.6923384070396423,0.5694525241851807,0.5220023989677429,0.6934012174606323,0.5694484710693359,0.6222227215766907,0.7104172706604004,0.5992227792739868,0.5430983901023865,0.7119603753089905,0.5972845554351807,0.6824151873588562,0.7494086027145386,0.33990567922592163,0.4818633198738098,0.7484109997749329,0.33543211221694946,girar
3,0.5943566560745239,0.09753706306219101,-0.6504852771759033,0.6102932691574097,0.08460000157356262,-0.6078658103942871,0.620381236076355,0.08486853539943695,-0.6079118847846985,0.6294230222702026,0.08527106046676636,-0.6078408360481262,0.5808777809143066,0.0845114216208458,-0.6075361371040344,0.5706897377967834,0.08478441089391708,-0.6074911952018738,0.5606829524040222,0.08510317653417587,-0.6073837876319885,0.6450172066688538,0.0922991931438446,-0.361973375082016,0.5483788251876831,0.09373463690280914,-0.3634495139122009,0.6112419962882996,0.1153700202703476,-0.5601096749305725,0.5775834918022156,0.11428765952587128,-0.5597566366195679,0.7250509262084961,0.19624027609825134,-0.22878512740135193,0.4739205241203308,0.1955495923757553,-0.22557780146598816,0.7901794910430908,0.29535651206970215,-0.12278357148170471,0.4089476466178894,0.29932454228401184,-0.17266155779361725,0.8584882616996765,0.3889801800251007,-0.3586350083351135,0.3399290144443512,0.38402238488197327,-0.38664382696151733,0.8823133707046509,0.4185410141944885,-0.38826626539230347,0.3160572946071625,0.41394054889678955,-0.4481297433376312,0.8724574446678162,0.4198998808860779,-0.4666817784309387,0.3218686282634735,0.41250962018966675,-0.5413846373558044,0.8622663617134094,0.40960222482681274,-0.37909480929374695,0.3326704502105713,0.4024509787559509,-0.43082109093666077,0.6667792797088623,0.4132402539253235,0.0028026222717016935,0.5223812460899353,0.41145581007003784,-0.0031216354109346867,0.6696738004684448,0.5667270421981812,0.10918650776147842,0.5200090408325195,0.5637550354003906,0.09395239502191544,0.650274932384491,0.6898577809333801,0.497954785823822,0.5214768648147583,0.6923439502716064,0.47889602184295654,0.6215572357177734,0.7087775468826294,0.5172359943389893,0.5415545701980591,0.712091863155365,0.49811244010925293,0.6825605630874634,0.7492630481719971,0.25730887055397034,0.4822201132774353,0.7483216524124146,0.23222659528255463,girar
4,0.5985493063926697,0.0947367325425148,-0.5678443312644958,0.6150343418121338,0.08117573708295822,-0.5322511792182922,0.624936580657959,0.08133801072835922,-0.5322527289390564,0.6332829594612122,0.08181481063365936,-0.5321779251098633,0.5845085382461548,0.08114715665578842,-0.5315545797348022,0.5737399458885193,0.08142426609992981,-0.5315173864364624,0.5629749894142151,0.0822066068649292,-0.5314167141914368,0.646869957447052,0.09084562957286835,-0.3204801678657532,0.5502368211746216,0.09201369434595108,-0.3211507201194763,0.614532470703125,0.11342063546180725,-0.4902084171772003,0.5808943510055542,0.11262691766023636,-0.4893851578235626,0.7272602319717407,0.19750504195690155,-0.20670807361602783,0.47695356607437134,0.19459550082683563,-0.21489469707012177,0.7879308462142944,0.3000026345252991,-0.08649377524852753,0.41349440813064575,0.29800382256507874,-0.15360309183597565,0.8591894507408142,0.3917679488658905,-0.22000059485435486,0.34160470962524414,0.3859899640083313,-0.30985555052757263,0.8842897415161133,0.4225537180900574,-0.25381723046302795,0.3197585642337799,0.4153726100921631,-0.3561895787715912,0.8749994039535522,0.4244489371776581,-0.3314194679260254,0.32388585805892944,0.4142710864543915,-0.4456275701522827,0.8642942309379578,0.4163243770599365,-0.2520122528076172,0.33303382992744446,0.40476223826408386,-0.35304194688796997,0.6680473685264587,0.41560351848602295,0.004958306904882193,0.5241730213165283,0.4116929769515991,-0.005270054098218679,0.676308810710907,0.5660953521728516,0.11842580139636993,0.5227544903755188,0.5640075206756592,0.10067809373140335,0.6483298540115356,0.6898858547210693,0.46584996581077576,0.5235046744346619,0.6918651461601257,0.4558864235877991,0.6221960186958313,0.708899736404419,0.4836314618587494,0.5436437726020813,0.71002197265625,0.4750595688819885,0.6800825595855713,0.7486032843589783,0.2535710036754608,0.4823334515094757,0.7452791929244995,0.24364031851291656,girar
5,0.6012378334999084,0.09448561817407608,-0.3617502450942993,0.6175534725189209,0.08077986538410187,-0.3324820399284363,0.6277084946632385,0.08086022734642029,-0.3325102627277374,0.6358932852745056,0.08120280504226685,-0.3324643671512604,0.5870290994644165,0.08123449236154556,-0.32834526896476746,0.5757322311401367,0.08176763355731964,-0.32828372716903687,0.5647674202919006,0.0827188640832901,-0.3281583786010742,0.6487876176834106,0.09001492708921432,-0.1662398874759674,0.5525315403938293,0.09187920391559601,-0.15311242640018463,0.6172811985015869,0.11343851685523987,-0.3022754192352295,0.5834006667137146,0.11332541704177856,-0.2972818911075592,0.7291741371154785,0.19629155099391937,-0.11032483726739883,0.47915589809417725,0.19396574795246124,-0.0934014841914177,0.7857927083969116,0.2982674837112427,-0.023632707074284554,0.4171519875526428,0.2985953390598297,-0.027830716222524643,0.8557013869285583,0.39056360721588135,-0.12889891862869263,0.3454766571521759,0.38735562562942505,-0.1408379077911377,0.8811593055725098,0.42235973477363586,-0.16277353465557098,0.32515791058540344,0.41705116629600525,-0.17599180340766907,0.871077835559845,0.4238978922367096,-0.23364797234535217,0.3284327983856201,0.41577407717704773,-0.25213778018951416,0.8603017926216125,0.41527053713798523,-0.15849708020687103,0.336030513048172,0.4064827263355255,-0.17782950401306152,0.668632447719574,0.4152762293815613,0.006053980439901352,0.5264495015144348,0.4111584424972534,-0.006344911176711321,0.6753038763999939,0.5637814998626709,0.09808443486690521,0.5231759548187256,0.5608293414115906,0.06979714334011078,0.6440132260322571,0.6895229816436768,0.3454623222351074,0.5227481126785278,0.6917083859443665,0.34249207377433777,0.6180304288864136,0.7093801498413086,0.35242074728012085,0.5405212044715881,0.7098219394683838,0.35485121607780457,0.6836152672767639,0.7491248250007629,0.19062572717666626,0.4825359880924225,0.7467840909957886,0.14006511867046356,girar
6,0.6037328243255615,0.09415481239557266,-0.3830224275588989,0.6205629110336304,0.08057808130979538,-0.35201478004455566,0.6309358477592468,0.0806955099105835,-0.35205262899398804,0.6392037868499756,0.0811045914888382,-0.3519982695579529,0.5897705554962158,0.08104350417852402,-0.348666787147522,0.5780286192893982,0.08165127038955688,-0.34861457347869873,0.5671206116676331,0.08265186846256256,-0.34851354360580444,0.652230978012085,0.08983001112937927,-0.17712783813476562,0.5554119944572449,0.09155181050300598,-0.16535888612270355,0.6201854944229126,0.11310521513223648,-0.319306880235672,0.5858299136161804,0.11319705098867416,-0.3149724304676056,0.7319023609161377,0.1965983361005783,-0.1161423772573471,0.4815185070037842,0.193607360124588,-0.09143437445163727,0.7873250246047974,0.3012900948524475,-0.0313616544008255,0.4215138554573059,0.2991701066493988,-0.01466406136751175,0.8547925353050232,0.39334836602211,-0.14436690509319305,0.3516240417957306,0.3889947235584259,-0.12644466757774353,0.87896728515625,0.42506566643714905,-0.1776980608701706,0.332328736782074,0.41965359449386597,-0.16150636970996857,0.8696351647377014,0.4261409044265747,-0.249333918094635,0.3362448215484619,0.4184474050998688,-0.23779334127902985,0.8592145442962646,0.41813480854034424,-0.17442606389522552,0.34356266260147095,0.40917593240737915,-0.1633014976978302,0.6710465550422668,0.4148455858230591,0.005038282833993435,0.528235912322998,0.4112823009490967,-0.005378571804612875,0.6779211759567261,0.567017138004303,0.0889727920293808,0.5233458876609802,0.5628150701522827,0.06843993067741394,0.6430407762527466,0.6929325461387634,0.33771970868110657,0.5251036882400513,0.6932538747787476,0.34409505128860474,0.6191345453262329,0.7117524147033691,0.3476024568080902,0.5429472327232361,0.7121579051017761,0.3561468720436096,0.6753065586090088,0.7493579983711243,0.1862337291240692,0.48284727334976196,0.7470160126686096,0.15208518505096436,girar
7,0.6079603433609009,0.09449540078639984,-0.41754236817359924,0.6249490976333618,0.08106888085603714,-0.3860180079936981,0.6351882815361023,0.08120443671941757,-0.3860330283641815,0.6433900594711304,0.08175715804100037,-0.38596269488334656,0.5939351320266724,0.08167516440153122,-0.38412532210350037,0.5817771553993225,0.08238639682531357,-0.3840763568878174,0.5706042051315308,0.08336691558361053,-0.3839811384677887,0.656188428401947,0.0902140885591507,-0.20159369707107544,0.5585812926292419,0.09150010347366333,-0.1981281042098999,0.6240856647491455,0.11357616633176804,-0.3497878909111023,0.5895283818244934,0.11379314959049225,-0.34775152802467346,0.7346651554107666,0.19736149907112122,-0.12302709370851517,0.4843577444553375,0.19249439239501953,-0.12373635917901993,0.7860090732574463,0.30302250385284424,-0.025233741849660873,0.42504405975341797,0.2981709837913513,-0.058248162269592285,0.8537794947624207,0.3931816816329956,-0.13650499284267426,0.3569827973842621,0.3895438015460968,-0.18359375,0.8787466287612915,0.42517784237861633,-0.17151054739952087,0.33871787786483765,0.42141425609588623,-0.2243119776248932,0.8701167702674866,0.42638474702835083,-0.24394014477729797,0.3433462679386139,0.420680433511734,-0.30296605825424194,0.8595898747444153,0.4182257056236267,-0.16737255454063416,0.3505130410194397,0.4115486145019531,-0.22157306969165802,0.6716493964195251,0.41542983055114746,0.005155834369361401,0.5294783711433411,0.41080284118652344,-0.005515506491065025,0.6780293583869934,0.5646421313285828,0.0995231345295906,0.522602915763855,0.5623686909675598,0.0723588615655899,0.6421262621879578,0.6913145780563354,0.3635927736759186,0.5247262716293335,0.6925718188285828,0.36715060472488403,0.6183755397796631,0.7092292308807373,0.37537840008735657,0.5415820479393005,0.7102888226509094,0.38186612725257874,0.6747302412986755,0.7500981092453003,0.18995171785354614,0.4863412380218506,0.7470375895500183,0.1711299866437912,girar
8,0.6115174889564514,0.09430882334709167,-0.4099661707878113,0.6288569569587708,0.08103779703378677,-0.3781189024448395,0.6392046213150024,0.08119207620620728,-0.378135085105896,0.6474668383598328,0.08179975301027298,-0.3780724108219147,0.5975488424301147,0.08153581619262695,-0.3743520975112915,0.5852296948432922,0.08212338387966156,-0.3743034303188324,0.5739710330963135,0.08299233764410019,-0.37420108914375305,0.6605110764503479,0.09025407582521439,-0.19577738642692566,0.561781108379364,0.09108448773622513,-0.18256083130836487,0.6275740265846252,0.11357629299163818,-0.34318315982818604,0.592566967010498,0.11360259354114532,-0.33837634325027466,0.7387785315513611,0.1980719417333603,-0.12521804869174957,0.4870571196079254,0.19214916229248047,-0.10871537029743195,0.7869969010353088,0.30495813488960266,-0.026968248188495636,0.42792874574661255,0.2980963885784149,-0.034741975367069244,0.8546258211135864,0.3945823907852173,-0.1313340961933136,0.36000388860702515,0.3915948271751404,-0.14060083031654358,0.8789365291595459,0.42626985907554626,-0.1642356514930725,0.3430561125278473,0.42397475242614746,-0.17726624011993408,0.8707756400108337,0.4271375238895416,-0.23731528222560883,0.3488479256629944,0.42343461513519287,-0.25504693388938904,0.8603118658065796,0.4190153181552887,-0.1618843525648117,0.35595670342445374,0.4148876965045929,-0.17835195362567902,0.6738695502281189,0.41742274165153503,0.005790084134787321,0.5317264795303345,0.4129529893398285,-0.006151276640594006,0.6803935170173645,0.5681208968162537,0.09753936529159546,0.5223087072372437,0.5651246309280396,0.0730641633272171,0.6423208713531494,0.6907516717910767,0.3988388776779175,0.5247536301612854,0.6929910182952881,0.4055633842945099,0.6190475821495056,0.7080236077308655,0.4188123941421509,0.5415042638778687,0.7096466422080994,0.42485687136650085,0.673271656036377,0.7500248551368713,0.2242777794599533,0.48809048533439636,0.7481213212013245,0.2162068784236908,girar
9,0.6156501173973083,0.09527873992919922,-0.44854989647865295,0.6333544850349426,0.08269944041967392,-0.4220617413520813,0.6436189413070679,0.0830022543668747,-0.42205601930618286,0.6521431803703308,0.08377917855978012,-0.4220154285430908,0.6021754145622253,0.0824950635433197,-0.4178183078765869,0.5900936722755432,0.08273262530565262,-0.4178152084350586,0.578890860080719,0.08334292471408844,-0.4177418053150177,0.6649191975593567,0.09141938388347626,-0.23052911460399628,0.5663425922393799,0.09103428572416306,-0.2229997217655182,0.6310454607009888,0.11468679457902908,-0.38261014223098755,0.5964944362640381,0.11404915153980255,-0.377353310585022,0.7423465251922607,0.19870397448539734,-0.13689067959785461,0.4899389147758484,0.1921924352645874,-0.1328454464673996,0.7877678275108337,0.3064480423927307,-0.03339942544698715,0.43069085478782654,0.29877057671546936,-0.03659322112798691,0.8546814322471619,0.3939230144023895,-0.13946408033370972,0.36451491713523865,0.3917144536972046,-0.24345898628234863,0.879019021987915,0.42538201808929443,-0.19519160687923431,0.34798935055732727,0.42417290806770325,-0.2996799945831299,0.8705561757087708,0.4258009195327759,-0.28514546155929565,0.35419002175331116,0.4233551323413849,-0.39151623845100403,0.860001266002655,0.4167731702327728,-0.17310667037963867,0.3617832660675049,0.4144883453845978,-0.28903043270111084,0.6766742467880249,0.41710227727890015,0.0059536295011639595,0.5341722369194031,0.4133279621601105,-0.006255229003727436,0.6824892163276672,0.5689232349395752,0.08997590839862823,0.5218901038169861,0.5639596581459045,0.0716661885380745,0.6431004405021667,0.6914194822311401,0.46100905537605286,0.5261089205741882,0.6928514242172241,0.448224276304245,0.619995653629303,0.7086552381515503,0.484544962644577,0.5430673360824585,0.7088637351989746,0.470342218875885,0.6757034659385681,0.7499066591262817,0.26105332374572754,0.48922786116600037,0.7487338185310364,0.23443369567394257,girar
